url,filename,total_blocks,total_points,Abstraction,Parallelization,Logic,Synchronization,FlowControl,UserInteractivity,DataRepresentation,MathOperators,MotionOperators,Van total_points,Van Abstraction,Van Parallelization,Van Logic,Van Synchronization,Van FlowControl,Van UserInteractivity,Van DataRepresentation,deadcode,duplicateScript,spriteNaming,initialization,Error
,scratch match!.sb3,857,35/36,4/4,4/4,4/4,4/4,4/4,3/4,4/4,4/4,4/4,21/21,3/3,3/3,3/3,3/3,3/3,3/3,3/3,,0,0,0,
,Saturday Mornings _ Animation.sb3,130,19/36,3/4,4/4,0/4,2/4,3/4,1/4,4/4,2/4,0/4,15/21,3/3,3/3,0/3,2/3,3/3,1/3,3/3,,0,0,0,
