url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,5dbd32af-a704-4b19-8de9-0cf7bab2a540_2024_06_25_04_18_21_991818.sb3,21,1,3,1,3,2,1,4,2,4,0,0,0,0,None,Default,14,1,3,1,3,2,1,3,212
,470c065f-f4f2-44bd-ab70-1bdd4a853624_2024_06_30_10_28_58_337856.sb3,21,1,4,1,2,2,2,4,2,3,0,11,1,0,None,Default,14,1,3,1,2,2,2,3,253
,1017593041_2024_06_13_18_38_36_457288.sb3,7,1,0,0,0,1,1,1,0,3,0,4,0,1,None,Default,4,1,0,0,0,1,1,1,11
,5cd1c81b-9637-463b-9bcf-35a44e53e530_2024_05_17_06_54_56_822140.sb3,17,1,1,2,2,2,2,4,2,1,0,1,0,0,None,Default,13,1,1,2,2,2,2,3,169
,a06c9e30-9da7-4e64-b943-93558e83c2c6_2024_05_27_10_57_48_106380.sb3,25,3,1,4,2,3,2,4,2,4,0,0,0,1,None,Default,17,3,1,3,2,3,2,3,81
,d57befbe-5b04-4f64-8f16-21e3d6d7ab6a_2024_06_06_06_50_27_795009.sb3,13,1,0,2,3,1,2,1,0,3,0,0,0,0,None,Default,10,1,0,2,3,1,2,1,29
,1014332669_2024_06_03_18_55_51_175872.sb3,14,1,3,2,1,2,1,1,0,3,0,0,0,0,None,Default,11,1,3,2,1,2,1,1,19
,9ced88c6-348f-4198-9215-34a9f02c0528_2024_05_27_05_57_20_221292.sb3,22,1,4,1,2,3,2,4,2,3,0,2,1,1,None,Default,15,1,3,1,2,3,2,3,146
,86cba2aa-e882-4021-bc23-a018079e2ff8_2024_05_19_13_24_12_682403.sb3,28,4,3,2,3,3,1,4,4,4,2,1,0,1,None,Default,18,3,3,2,3,3,1,3,216
,5e6e09e8-a318-4ff0-9bd5-7eb0e92870b7_2024_05_08_09_59_39_126929.sb3,5,0,0,0,0,1,0,1,0,3,0,0,0,0,None,Default,2,0,0,0,0,1,0,1,4
,747653991_2024_06_13_11_38_02_032135.sb3,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
,9765b0a6-facb-4e65-a47f-aaf5d46dfc00_2024_05_14_06_40_10_952130.sb3,9,0,0,1,0,2,1,1,0,4,0,0,0,0,None,Default,5,0,0,1,0,2,1,1,12
,1023938210_2024_05_30_07_12_52_491579.sb3,13,1,1,1,2,2,2,2,0,2,0,0,0,1,None,Default,11,1,1,1,2,2,2,2,73
,fd6fa2ee-8c08-434e-9a06-ab85be782fe2_2024_05_20_00_56_07_161988.sb3,27,1,4,4,4,2,2,4,3,3,9,1,0,0,None,Default,17,1,3,3,3,2,2,3,2549
,1025563960_2024_06_06_13_19_00_864829.sb3,7,1,1,0,0,2,1,1,0,1,0,1,0,1,None,Default,6,1,1,0,0,2,1,1,11
,6be4e810-8862-4fcb-b729-d574b77b1ef2_2024_05_31_15_40_18_791376.sb3,14,1,1,2,1,2,2,2,0,3,0,0,1,1,None,Default,11,1,1,2,1,2,2,2,29
,60983193-1af7-4957-9a1b-116621db3117_2024_05_08_10_09_19_250150.sb3,14,1,4,0,3,1,1,1,0,3,0,0,0,0,None,Default,10,1,3,0,3,1,1,1,12
,7421a6ad-44c7-421b-bcaa-4774bf7b67a2_2024_05_31_02_32_06_887149.sb3,10,1,0,0,1,2,2,3,0,1,0,0,1,1,None,Default,9,1,0,0,1,2,2,3,11
,c78a28b3-ac2d-4ebe-b4c8-19f0a215a773_2024_06_14_03_02_18_221803.sb3,35,4,4,4,4,3,4,4,4,4,4,18,0,0,None,Default,21,3,3,3,3,3,3,3,1877
,1029487135_2024_06_06_00_32_16_534644.sb3,3,0,0,0,0,1,2,0,0,0,0,0,0,1,None,Default,3,0,0,0,0,1,2,0,9
,c7c8a476-35ab-4776-b9db-c4962c917308_2024_05_23_07_40_17_190860.sb3,19,1,2,1,3,2,2,4,2,2,0,0,0,1,None,Default,14,1,2,1,3,2,2,3,41
,1042464363_2024_06_28_02_24_18_227401.sb3,26,1,4,2,4,4,2,4,3,2,0,52,1,2,None,Default,17,1,3,2,3,3,2,3,1922
,48ba4d93-879a-44b7-973b-e00a508c9a64_2024_05_09_01_13_39_249331.sb3,8,0,0,0,1,2,1,1,1,2,0,0,1,0,None,Default,5,0,0,0,1,2,1,1,13
,1012036934_2024_06_19_16_40_47_656371.sb3,8,1,1,0,1,2,2,1,0,0,0,1,2,1,None,Default,8,1,1,0,1,2,2,1,41
,1025397402_2024_05_30_00_27_35_088609.sb3,9,1,0,0,3,1,2,1,0,1,0,1,1,1,None,Default,8,1,0,0,3,1,2,1,14
,948573479_2024_06_30_15_10_15_997501.sb3,35,4,4,4,4,4,3,4,4,4,0,6,0,1,None,Default,21,3,3,3,3,3,3,3,4121
,8542337d-a509-44e5-8126-ae3049de4d3c_2024_06_16_17_37_28_324912.sb3,15,1,1,1,1,2,2,4,0,3,0,2,0,0,None,Default,11,1,1,1,1,2,2,3,118
,f824959c-7f32-4294-9e5f-e5cfe5ccb9d8_2024_06_06_06_51_47_47749.sb3,15,1,3,2,2,1,2,1,0,3,0,0,0,0,None,Default,12,1,3,2,2,1,2,1,18
,1028682865_2024_06_04_13_44_29_975522.sb3,34,4,4,4,4,3,3,4,4,4,0,6,0,1,None,Default,21,3,3,3,3,3,3,3,522
,5090b644-60ab-472d-ae45-45c5c87aa4e1_2024_06_03_07_13_15_867703.sb3,18,1,4,1,2,2,1,4,2,1,0,3,0,0,None,Default,13,1,3,1,2,2,1,3,410
,38dfcec4-0ad5-4b91-9a46-3a53313b746a_2024_05_29_10_10_37_662174.sb3,25,3,1,4,2,3,2,4,2,4,0,0,0,1,None,Default,17,3,1,3,2,3,2,3,81
,1025395003_2024_06_06_00_31_28_504405.sb3,6,1,0,0,0,1,2,1,0,1,0,1,1,1,None,Default,5,1,0,0,0,1,2,1,10
,9e82ea07-f67d-4a0e-9be4-3639793fae05_2024_06_25_23_04_27_249259.sb3,14,1,4,0,2,2,1,1,0,3,0,1,0,1,None,Default,10,1,3,0,2,2,1,1,284
,d6c50508-1e87-44d1-8973-a149f65a1e32_2024_05_27_11_24_10_560822.sb3,10,1,0,0,0,4,2,2,0,1,0,0,0,0,None,Default,8,1,0,0,0,3,2,2,9
,a202e5f3-3272-4397-a796-fd4904a57354_2024_06_10_17_40_14_927263.sb3,22,2,4,2,3,2,2,4,2,1,0,0,0,0,None,Default,17,2,3,2,3,2,2,3,67
,5be2b348-0ee4-4066-a95d-85561b2eb82e_2024_05_30_14_56_13_339961.sb3,12,0,0,2,1,1,2,4,2,0,0,0,0,1,None,Default,9,0,0,2,1,1,2,3,52
,1029485284_2024_06_06_00_27_53_634808.sb3,6,1,0,0,1,1,2,1,0,0,0,0,0,1,None,Default,6,1,0,0,1,1,2,1,20
,497c821a-a3ca-40e6-9c73-87367d82eab8_2024_05_31_14_42_26_819567.sb3,16,1,1,1,2,1,1,4,2,3,0,0,0,1,None,Default,10,1,1,1,2,1,1,3,25
,747653991_2024_05_30_07_54_00_457205.sb3,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
,1037779989_2024_06_15_05_32_34_146249.sb3,7,1,1,0,1,2,1,1,0,0,0,0,1,1,None,Default,7,1,1,0,1,2,1,1,43
,b9817eec-e769-4b8c-b8bf-d2b815137076_2024_05_31_14_47_30_924518.sb3,13,1,3,0,2,1,2,1,0,3,0,0,0,1,None,Default,10,1,3,0,2,1,2,1,23
,439d4a16-52c8-480e-9260-e8b2a2fc3a21_2024_05_10_07_00_53_472807.sb3,10,1,0,1,0,2,1,1,0,4,0,1,0,0,None,Default,6,1,0,1,0,2,1,1,12
,1041993266_2024_06_26_22_31_51_879024.sb3,29,3,3,4,3,3,3,4,2,4,0,1,0,1,None,Default,21,3,3,3,3,3,3,3,284
,4ffed976-2b4a-498a-801b-95f407bc2314_2024_06_04_09_38_27_915361.sb3,22,1,3,2,3,3,2,4,0,4,0,3,0,1,None,Default,17,1,3,2,3,3,2,3,57
,ecb4c78a-dd72-4ab8-860e-7609249a9d2c_2024_06_06_15_42_22_574521.sb3,26,1,4,4,3,2,2,4,2,4,0,0,0,0,None,Default,17,1,3,3,3,2,2,3,106
,1037730051_2024_06_19_01_41_54_403372.sb3,28,2,4,2,3,2,4,4,3,4,2,0,0,1,None,Default,18,2,3,2,3,2,3,3,274
,948664627_2024_05_29_14_47_57_883635.sb3,7,1,0,0,1,2,2,1,0,0,0,0,0,1,None,Default,7,1,0,0,1,2,2,1,14
,0070eb2b-35db-4df9-94a3-884b275d96f7_2024_05_31_14_43_01_518143.sb3,6,1,1,0,1,1,1,1,0,0,0,0,0,0,None,Default,6,1,1,0,1,1,1,1,15
,6b17e76f-fc29-446d-8025-650c67066f81_2024_05_12_11_50_38_410294.sb3,12,3,0,0,0,2,2,2,3,0,0,0,0,1,None,Default,9,3,0,0,0,2,2,2,17
,88ff3c95-1451-4f7b-873a-69676b88e9e7_2024_05_08_10_15_43_879148.sb3,20,1,2,1,2,2,2,4,2,4,0,0,0,0,None,Default,13,1,2,1,2,2,2,3,107
,747653991_2024_06_23_15_40_33_911077.sb3,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
,6640882e-f6c7-483b-9cbd-bf4422563742_2024_05_08_06_33_31_674074.sb3,17,1,1,2,1,3,1,4,0,4,0,0,0,1,None,Default,12,1,1,2,1,3,1,3,31
,1025395736_2024_05_30_09_07_07_595652.sb3,9,1,1,0,1,2,2,1,0,1,0,0,0,1,None,Default,8,1,1,0,1,2,2,1,18
,fff8ac5b-9080-4a2f-bcdc-b6a81e738a7f_2024_05_22_12_09_34_522803.sb3,18,1,2,1,1,2,2,4,2,3,2,0,0,1,None,Default,12,1,2,1,1,2,2,3,147
,36523ccc-4b66-49b9-8987-7bacd484b24c_2024_06_01_04_10_26_501839.sb3,19,3,0,2,4,2,2,4,2,0,0,0,0,0,None,Default,15,3,0,2,3,2,2,3,44
,1025395068_2024_05_30_11_44_18_163901.sb3,8,1,2,0,0,1,2,1,0,1,0,0,1,1,None,Default,7,1,2,0,0,1,2,1,19
,e8f91ece-3357-441f-b5c8-c18b0ab59432_2024_05_08_10_03_39_959533.sb3,17,1,1,2,1,3,1,4,0,4,0,1,0,1,None,Default,12,1,1,2,1,3,1,3,33
,1042875268_2024_06_28_12_57_01_885800.sb3,21,4,3,1,2,2,1,4,2,2,0,0,0,0,None,Default,15,3,3,1,2,2,1,3,59
,1037884366_2024_06_21_08_01_17_881981.sb3,11,1,1,0,2,2,1,1,0,3,0,0,0,1,None,Default,8,1,1,0,2,2,1,1,56
,c3f010a1-72ff-4c32-9a69-631304217a9d_2024_05_31_02_35_33_229527.sb3,10,1,0,0,1,2,2,3,0,1,0,0,1,1,None,Default,9,1,0,0,1,2,2,3,11
,0e6d71ee-63f4-470c-ab95-86f691ee28ed_2024_06_30_16_10_26_77662.sb3,18,1,4,2,3,2,2,1,0,3,0,0,5,0,None,Default,14,1,3,2,3,2,2,1,401
