url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode
https://scratch.mit.edu/projects/957967074/,https://scratch.mit.edu/projects/957967074/,7.0,1,1,0,1.0,2,1,1,0,4,7,4,None,Personalized
https://scratch.mit.edu/projects/747653991/,https://scratch.mit.edu/projects/747653991/,11.0,2,1,2,1.0,2,1.0,2,0,2,1,1,None,Personalized
https://scratch.mit.edu/projects/882093984/,https://scratch.mit.edu/projects/882093984/,9.0,1.0,1,2,1,2,1.0,1,0,0,0,1,None,Personalized
https://scratch.mit.edu/projects/953962827/,https://scratch.mit.edu/projects/953962827/,11.0,2,1,2,2,2,1,1.0,6,5,9,0,None,Personalized
https://scratch.mit.edu/projects/965221739/,https://scratch.mit.edu/projects/965221739/,8.0,2,1,0,1.0,2,1,1.0,0,0,0,3,None,Personalized
